,artificialBig.05baf5bf-2d9b-422b-9505-476b35201ef9.pnml,artificialBig.256f5479-0ce9-4ef3-b267-6b3f2def79b7.pnml,artificialBig.32df24a5-b1f1-426e-b769-9e84d2d6b358.pnml,artificialBig.4ff31820-5ec0-4674-bc85-c2f28a76cd1d.pnml,artificialBig.7eb5326e-71b6-4acc-bf1b-5120994b58c1.pnml,artificialBig.8f691c71-7279-41bf-8823-0d7c230a3440.pnml,artificialBig.906fcd31-8e90-4bf8-874a-b657311fad30.pnml,artificialBig.9afddb73-e401-4699-8055-074efedde771.pnml,artificialBig.9bbc00ed-7a73-4ebc-9d60-4c91760653c3.pnml,artificialBig.a55a565f-0715-4f47-999a-2d00a746e29b.pnml,artificialBig.c9a4c2d6-9d7c-4351-8266-aaa03f8f38e2.pnml,artificialBig.ca5a762c-2c82-4179-af80-a33487b02d2f.pnml,artificialBig.daeb0724-b6b2-4f57-9160-d981590fced4.pnml,artificialBig.de5ac652-8d1f-49be-96bc-2e35e9e3b45e.pnml,artificialBig.e9938a54-9e94-4210-b300-b9836bfe880c.pnml
artificialBig.05baf5bf-2d9b-422b-9505-476b35201ef9.pnml,0.0,0.5,0.5,0.33333333333333337,0.33333333333333337,0.6666666666666667,0.75,0.5,0.41666666666666663,0.5833333333333333,0.16666666666666663,0.19999999999999996,0.9166666666666666,0.5,0.4
artificialBig.256f5479-0ce9-4ef3-b267-6b3f2def79b7.pnml,0.5,0.0,0.0,0.5,0.5,0.625,0.75,0.0,0.5,0.5,0.5,0.33333333333333337,0.875,0.33333333333333337,0.33333333333333337
artificialBig.32df24a5-b1f1-426e-b769-9e84d2d6b358.pnml,0.5,0.0,0.0,0.5,0.5,0.625,0.75,0.0,0.5,0.5,0.5,0.33333333333333337,0.875,0.33333333333333337,0.33333333333333337
artificialBig.4ff31820-5ec0-4674-bc85-c2f28a76cd1d.pnml,0.33333333333333337,0.5,0.5,0.0,0.25,0.5,0.6666666666666667,0.5,0.16666666666666663,0.33333333333333337,0.16666666666666663,0.4,0.8333333333333334,0.4,0.19999999999999996
artificialBig.7eb5326e-71b6-4acc-bf1b-5120994b58c1.pnml,0.33333333333333337,0.5,0.5,0.25,0.0,0.5,0.5833333333333333,0.5,0.16666666666666663,0.33333333333333337,0.16666666666666663,0.4,0.75,0.4,0.19999999999999996
artificialBig.8f691c71-7279-41bf-8823-0d7c230a3440.pnml,0.6666666666666667,0.625,0.625,0.5,0.5,0.0,0.75,0.625,0.33333333333333337,0.25,0.5,0.6,0.5,0.4,0.5
artificialBig.906fcd31-8e90-4bf8-874a-b657311fad30.pnml,0.75,0.75,0.75,0.6666666666666667,0.5833333333333333,0.75,0.0,0.75,0.5833333333333333,0.5,0.6666666666666667,0.7,0.25,0.6,0.7
artificialBig.9afddb73-e401-4699-8055-074efedde771.pnml,0.5,0.0,0.0,0.5,0.5,0.625,0.75,0.0,0.5,0.5,0.5,0.33333333333333337,0.875,0.33333333333333337,0.33333333333333337
artificialBig.9bbc00ed-7a73-4ebc-9d60-4c91760653c3.pnml,0.41666666666666663,0.5,0.5,0.16666666666666663,0.16666666666666663,0.33333333333333337,0.5833333333333333,0.5,0.0,0.16666666666666663,0.25,0.4,0.75,0.19999999999999996,0.19999999999999996
artificialBig.a55a565f-0715-4f47-999a-2d00a746e29b.pnml,0.5833333333333333,0.5,0.5,0.33333333333333337,0.33333333333333337,0.25,0.5,0.5,0.16666666666666663,0.0,0.41666666666666663,0.5,0.75,0.19999999999999996,0.4
artificialBig.c9a4c2d6-9d7c-4351-8266-aaa03f8f38e2.pnml,0.16666666666666663,0.5,0.5,0.16666666666666663,0.16666666666666663,0.5,0.6666666666666667,0.5,0.25,0.41666666666666663,0.0,0.19999999999999996,0.8333333333333334,0.4,0.19999999999999996
artificialBig.ca5a762c-2c82-4179-af80-a33487b02d2f.pnml,0.19999999999999996,0.33333333333333337,0.33333333333333337,0.4,0.4,0.6,0.7,0.33333333333333337,0.4,0.5,0.19999999999999996,0.0,0.9,0.375,0.25
artificialBig.daeb0724-b6b2-4f57-9160-d981590fced4.pnml,0.9166666666666666,0.875,0.875,0.8333333333333334,0.75,0.5,0.25,0.875,0.75,0.75,0.8333333333333334,0.9,0.0,0.8,0.8
artificialBig.de5ac652-8d1f-49be-96bc-2e35e9e3b45e.pnml,0.5,0.33333333333333337,0.33333333333333337,0.4,0.4,0.4,0.6,0.33333333333333337,0.19999999999999996,0.19999999999999996,0.4,0.375,0.8,0.0,0.25
artificialBig.e9938a54-9e94-4210-b300-b9836bfe880c.pnml,0.4,0.33333333333333337,0.33333333333333337,0.19999999999999996,0.19999999999999996,0.5,0.7,0.33333333333333337,0.19999999999999996,0.4,0.19999999999999996,0.25,0.8,0.25,0.0
